sigma_exc,sigma_inh,g_exc,g_inh,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,composite_error,error_message
0.05,0.3,1.0,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.3,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.3,1.0,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.3,1.0,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.3,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.05,0.3,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.625,-0.3,0.009528910296878364,0.9836380457408713,0.18164404271758594,0.009687415245134284,0.05245925026946022,0.3427409191210813,0.18476853418797298,
0.08750000000000001,0.1,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.75,-0.3,0.0030116550823814066,0.9710305140527825,0.24247628955086056,0.0031015040287422535,0.012420410622250543,0.19223171012254017,0.09953038839434288,
0.08750000000000001,0.1,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.875,-0.3,0.0009607634178934877,0.9600651482069008,0.285496492767752,0.0010007273044757617,0.0033652371998666103,0.12287885391602775,0.062412692589329924,
0.08750000000000001,0.1,0.875,-0.4750000000000001,0.0021821305044014503,0.9794739482563126,0.20366457091747786,0.0022278596444627696,0.01071433531404743,0.284934777826277,0.14527861386928684,
0.08750000000000001,0.1,1.0,-0.65,0.008719654592357738,0.9896682490834721,0.14412136444116985,0.008810684299841016,0.0605021651451065,0.46104720820069445,0.24526724241932082,
0.08750000000000001,0.1,1.0,-0.3,0.004541265011490519,0.9492304485858482,0.32281160525603725,0.004784154333033138,0.014067849289026104,0.08511591898467924,0.04680677565005478,
0.08750000000000001,0.1,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,1.0,-0.4750000000000001,0.001327545653052034,0.9665063245944906,0.26102653580208685,0.0013735509075675347,0.005085864733915764,0.16068812129031465,0.08177329886421074,
0.08750000000000001,0.1,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.1,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
