composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.625 mV,-0.475 mV
0.17801345156387874,2.4890693349681593e-16,0.9843628420746031,0.17754265850153494,2.528609576968795e-16,1.401955651659142e-15,0.35602690312775676,,0.08750000000000001,0.1,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.75 mV,-0.475 mV
0.0901276684813583,0.0013156273703721355,0.9689848440183741,0.2510230975090635,0.0013577378066501628,0.005241061015608866,0.17734426987248295,,0.08750000000000001,0.1,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.875 mV,-1. mV
0.14437399387020727,0.0062956496439591485,0.978419876701825,0.20888450913353449,0.006434507034787772,0.030139380225340223,0.2728315314294058,,0.08750000000000001,0.1,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,1. mV,-0.825 mV
0.05574798701959517,0.0008925559952406838,0.957285061134446,0.295479447384469,0.0009323826539809568,0.0030207041577389867,0.10972826278370618,,0.08750000000000001,0.1,0.875 mV,-300. uV
0.25182978839465,0.0042825308092501145,0.9907571769865757,0.13627760528439006,0.004322482708680205,0.03142505182941204,0.48849606643232707,,0.08750000000000001,0.1,1. mV,-0.65 mV
0.082757407971146,0.002828382902276161,0.9660894078481969,0.26267426213184514,0.0029276616118784453,0.010767643846493416,0.15945116143656757,,0.08750000000000001,0.1,1. mV,-0.475 mV
0.04193630747940405,0.0002456473926128821,0.9484328889598507,0.32540509057190964,0.000259003449671858,0.0007548972026871156,0.08341525400793014,,0.08750000000000001,0.1,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.1,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.75 mV,-1. mV
,0.15707963267948968,0.9999999999999998,,0.1570796311086934,,0.9466078045931611,,0.08750000000000001,0.15,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,1. mV,-1. mV
0.13919521311747504,0.0005654359971666745,0.9782916032341051,0.20951124242416666,0.0005779830773540176,0.002698833678919813,0.27696410291696977,,0.08750000000000001,0.15,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.15,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.75 mV,-0.475 mV
