composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
0.07574468840910294,0.004314937928610837,0.9642797597507956,0.2697176630951532,0.004474778030162316,0.015997980551568765,0.14240531777948098,,0.125,0.1,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.625 mV,-1. mV
0.03197441644751791,0.004571951249321946,0.9400331800158349,0.3516819466902868,0.004863606198037466,0.01300024437520614,0.05583057142613088,,0.125,0.1,0.625 mV,-300. uV
0.07543246945403285,0.0021350236918005402,0.9653087957380945,0.2657337874186169,0.002211752010454373,0.008034445723069402,0.14632410941256532,,0.125,0.1,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.625 mV,-0.825 mV
0.02646652332900699,0.0007475428278976002,0.9401466538039064,0.3513385562828753,0.0007951342664696419,0.002127699378646409,0.05160488634667363,,0.125,0.1,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.75 mV,-0.825 mV
0.0870953635579755,0.004657753866712077,0.9673861251628488,0.2575171868374772,0.004814782533479245,0.01808715730360806,0.1640669946744202,,0.125,0.1,0.875 mV,-0.825 mV
0.025955036304104867,0.0013222751719164428,0.9179429838297288,0.4138115235575669,0.0014404763485364258,0.003195356090011099,0.04976764436308344,,0.125,0.1,0.875 mV,-0.475 mV
0.02534870206241195,0.00020555068441250172,0.9399777943934536,0.35184944605399915,0.00021867610432050458,0.0005842006765045621,0.050332518191629774,,0.125,0.1,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.875 mV,-1. mV
0.04952923768419641,0.000200520677018585,0.8981658401210284,0.4634663728944333,0.00022325573499767855,0.000432654209120494,0.09875146024374602,,0.125,0.1,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.1,0.5 mV,-0.825 mV
0.08654181142260027,0.004704011633235967,0.9678706030534485,0.2555655095680883,0.004860165780212812,0.01840628510938685,0.16280500933331812,,0.125,0.1,1. mV,-1. mV
0.02206986124431287,2.6388941377081927e-05,0.9175379761911533,0.41487660350331995,2.8760598225068192e-05,6.360672343112921e-05,0.04409702344031825,,0.125,0.1,1. mV,-0.65 mV
0.05034043789050615,0.002659628760341389,0.8965278371423534,0.46738832752468207,0.002966588008190542,0.005690404752782231,0.09662476107498508,,0.125,0.1,1. mV,-0.475 mV
0.02517195882648409,0.0002233292218587595,0.9397607075266453,0.35250529625989435,0.00023764477243370984,0.0006335485572225383,0.04994791136661894,,0.125,0.1,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.625 mV,-1. mV
0.4315300924979626,0.008712455754245507,0.9984396439207136,0.055884965545808324,0.008726071445613243,0.15589981436248712,0.7954646163835624,,0.125,0.15,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.625 mV,-0.65 mV
0.08308390885024661,0.005759980553061051,0.8750326786214626,0.516708883023705,0.0065825890026296,0.011147438610605038,0.15775928885467344,,0.125,0.1,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.625 mV,-0.825 mV
0.028926213251588673,0.0029075376944811874,0.9186568647068454,0.41192862113659345,0.00316498768423087,0.007058353183759626,0.053130092619134976,,0.125,0.1,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.625 mV,-0.475 mV
0.04265409679329687,0.001477253582273028,0.9501985638675599,0.3196382051836442,0.0015546788038843444,0.004621642714531856,0.08252672921845039,,0.125,0.15,0.75 mV,-300. uV
0.0954048448710949,0.0051267121464656186,0.9693468546969085,0.24953063796170208,0.005288831411311799,0.02054542154960733,0.17941822227555979,,0.125,0.15,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.75 mV,-0.65 mV
0.1871440597377801,0.002931050964614059,0.9853166878606998,0.17200098148546303,0.002974729821363932,0.017040896739660652,0.36568692288687754,,0.125,0.15,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.875 mV,-0.825 mV
0.07496616890775587,4.661913024448125e-05,0.9651004078677817,0.26654501717496293,4.8304952916172135e-05,0.00017490152597330293,0.14983339423337272,,0.125,0.15,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.15,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.5 mV,-0.475 mV
0.039503695150013514,0.0007152471525783238,0.9474073845485482,0.3287128942597603,0.0007549520477609827,0.0021759023301748267,0.0776840581393005,,0.125,0.15,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.5 mV,-0.65 mV
0.043864858240292695,0.0045271155236544375,0.9095631747376944,0.43540971851335003,0.00497724138313711,0.010397369032348855,0.08058442403776359,,0.125,0.15,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.5 mV,-300. uV
0.27103209695231867,0.007706295424095639,0.9919069783311965,0.12748284477591393,0.0077691714190469205,0.0604496662875822,0.5132228245381762,,0.125,0.2,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.75 mV,-0.825 mV
0.14479157661723863,0.0038287317125996964,0.9792701759747854,0.20468362386572858,0.003909780740223904,0.01870560839352407,0.2797550414329333,,0.125,0.15,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.75 mV,-0.475 mV
0.02737007023922367,0.00042144416420656993,0.9304911854321716,0.37958573507083815,0.00045292654704897874,0.0011102739783620166,0.054024274958873145,,0.125,0.15,0.875 mV,-300. uV
0.317932649067007,2.293905014408557e-16,0.995632927517724,0.09355881521954715,2.303966580422337e-16,2.451832047066468e-15,0.6358652981340129,,0.125,0.2,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,0.875 mV,-0.65 mV
0.06907002206850453,0.005713042915888054,0.9602811940197805,0.2847072761952333,0.005949343683884468,0.020066374812178774,0.12654388800180688,,0.125,0.2,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,1. mV,-0.825 mV
0.17112389513577317,0.0064535840739126035,0.982423624312088,0.1883224052020307,0.006569043993359879,0.034268806555381726,0.32459884125337773,,0.125,0.2,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.2,1. mV,-0.65 mV
0.03799885495402343,0.0005484720246729342,0.9439475310746313,0.3396606697169205,0.0005810407896698682,0.0016147645976498867,0.07500317959518499,,0.125,0.2,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.5 mV,-1. mV
0.11877205383970754,0.0029795403793650994,0.9750190435994396,0.22493672897934586,0.0030558791321724913,0.013246126556942538,0.23041212957733456,,0.125,0.2,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.75 mV,-0.475 mV
0.24489301888425352,0.0012529437794702464,0.9909013624726565,0.13520556823878735,0.0012644485256324749,0.009266953985633307,0.4853205870588742,,0.125,0.25,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.875 mV,-0.65 mV
0.15276526520969527,0.004490320473919319,0.9804675608591805,0.19862380510997227,0.004579774596710491,0.02260716167144798,0.29373980099278507,,0.125,0.25,0.875 mV,-300. uV
,0.0,1.0,,0.0,,0.940918204969816,,0.125,0.25,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,1. mV,-1. mV
0.09623108614316667,0.005734360506620011,0.9689939028901539,0.2509858520244043,0.005917849875358364,0.02284734561875797,0.17977252411361513,,0.125,0.25,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,1. mV,-0.65 mV
0.3165834666014493,0.0012207705248917123,0.9956396590582287,0.09348652211943752,0.0012261167999125966,0.013058251576971353,0.6272079624921625,,0.125,0.25,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.75 mV,-0.475 mV
0.4378512601429949,1.0886153279216751e-16,0.9994518139018297,0.03311574856827424,1.0892124081296422e-16,3.2873040018325216e-15,0.8757025202859885,,0.125,0.3,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.875 mV,-0.65 mV
0.31521361178566976,0.0006167407733999596,0.9956039227792443,0.0938696791999834,0.0006194639786911225,0.006570180900331325,0.6274274728239924,,0.125,0.3,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.1,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,1. mV,-1. mV
0.369247249055144,0.00231218184610059,0.9976861283784981,0.06806677215676557,0.00231754432296563,0.03396931825671666,0.723516244213822,,0.125,0.3,1. mV,-0.475 mV
0.232003747985526,2.565435213481283e-16,0.9902756383902982,0.13979944128088567,2.5906273850633616e-16,1.8350825940189554e-15,0.4640074959710511,,0.125,0.3,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.25,0.75 mV,-0.65 mV
0.17702442722446868,0.0009358110272782593,0.9842418234385516,0.1782338151739926,0.0009507937942537006,0.005250468472353109,0.3513781907834439,,0.125,0.3,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.1,0.5 mV,-0.825 mV
0.22535501227935958,0.00618028797210428,0.988094433391617,0.15477076807590404,0.006254754303536562,0.03993188151055301,0.430984419372376,,0.16250000000000003,0.1,0.5 mV,-0.65 mV
0.02776838819152707,0.0031229366454355386,0.9423144285285925,0.34472093421083433,0.0033141131216369232,0.009059318235444104,0.04992458121589435,,0.16250000000000003,0.1,0.5 mV,-0.475 mV
0.026188529089815157,0.0010959453925537975,0.9165625092599494,0.4174326264132339,0.0011957126431906525,0.002625442582125518,0.050609453560865714,,0.16250000000000003,0.1,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.1,0.625 mV,-1. mV
0.10155204265017768,0.0024581949626093047,0.9711845883535563,0.24182107918903192,0.002531130504722448,0.010165346093289616,0.19751926856020605,,0.16250000000000003,0.1,0.625 mV,-0.825 mV
0.05707000330918066,0.005013342675543556,0.879368989101835,0.5070516249571702,0.005701068244006845,0.009887243090813534,0.1067644684356318,,0.16250000000000003,0.1,0.625 mV,-300. uV
0.04410274812352814,0.003700850963091615,0.9526047568472646,0.3116253731299753,0.0038849805206622365,0.011875961594269903,0.08112412329695098,,0.16250000000000003,0.1,0.75 mV,-1. mV
0.017334560885519643,0.0005049967774021544,0.9296399756812835,0.38198921438374983,0.0005432175736632813,0.0013220184193337722,0.03381438385910781,,0.16250000000000003,0.1,0.625 mV,-0.65 mV
0.025498278392539524,0.0007539613796476457,0.902263950990035,0.4535375663638486,0.0008356328217081173,0.0016624011671015216,0.04983021662521357,,0.16250000000000003,0.1,0.625 mV,-0.475 mV
0.046760546846698274,0.0028783776116048936,0.8896843651042504,0.48350494075663397,0.003235279490288468,0.005953150358919886,0.08919866585565552,,0.16250000000000003,0.1,0.75 mV,-0.65 mV
0.014185263539772352,0.0005814642654546897,0.9157596288670874,0.41952676130426403,0.0006349529295416817,0.0013860004154370967,0.027435155155644857,,0.16250000000000003,0.1,0.75 mV,-0.825 mV
0.08205822310343748,0.00043685539560622426,0.8655099522709921,0.5374688716739782,0.000504737570506952,0.0008128012962790061,0.16348848314605918,,0.16250000000000003,0.1,0.75 mV,-0.475 mV
0.1309716242967601,0.0016191032981043413,0.8401067241736317,0.5902987899773602,0.0019272590401229993,0.0027428538319830185,0.2596897516366532,,0.16250000000000003,0.1,0.75 mV,-300. uV
0.022529925428209006,0.0006776949182424731,0.9030457167232168,0.45162393243181287,0.0007504547092001093,0.001500573529381756,0.044009348619145246,,0.16250000000000003,0.1,0.875 mV,-1. mV
0.05985878342995662,0.004643666985918988,0.8765074863940756,0.5134394258558356,0.0052979204456583525,0.009044235312040188,0.11292112046770215,,0.16250000000000003,0.1,0.875 mV,-0.825 mV
0.15176113743454273,0.004345738941786544,0.82569956135777,0.6189091802272089,0.00526309942808916,0.00702161008532976,0.29755577117810006,,0.16250000000000003,0.1,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.125,0.3,1. mV,-0.825 mV
0.10216855723228614,0.0010758337154217618,0.8487066112797741,0.5727856673557007,0.0012676155557729716,0.0018782483164922971,0.20282524580451158,,0.16250000000000003,0.1,0.875 mV,-0.65 mV
0.21186631582500007,0.0003526267730530485,0.7979113003327964,0.6719491463536023,0.0004419373036659592,0.0005247819347142744,0.42325755649391483,,0.16250000000000003,0.1,0.875 mV,-300. uV
0.13382339377216,0.0008912649151484087,0.8347680206064174,0.6010014981411645,0.0010676797415216644,0.00148296621207268,0.2664129932145779,,0.16250000000000003,0.1,1. mV,-0.825 mV
0.18557301976346258,0.0016883318862755483,0.8082428095428218,0.6525224078477871,0.0020888919090311796,0.002587392963015889,0.3688577471963001,,0.16250000000000003,0.1,1. mV,-0.65 mV
0.2521775076099305,0.0045552672855329315,0.7825237766167833,0.7003298634179963,0.005821250885199905,0.006504459574664877,0.49826048085887514,,0.16250000000000003,0.1,1. mV,-0.475 mV
0.3162907481847999,0.004980947330245568,0.7546895076032748,0.7502650855210423,0.006599995380966657,0.006638916599439533,0.625965932501244,,0.16250000000000003,0.1,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.5 mV,-0.65 mV
0.04284365069541354,0.002150726878439741,0.9523480252723253,0.3124891285494693,0.002258341277330128,0.0068825654461104405,0.08157927044598483,,0.16250000000000003,0.15,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.75 mV,-0.825 mV
0.0719152952037369,0.003198854179690472,0.9637935042834915,0.2715813105364944,0.0033190243888169147,0.011778624137910322,0.13712772611901952,,0.16250000000000003,0.15,0.625 mV,-0.475 mV
0.02020452486654097,0.000580670687397018,0.9164989089095716,0.41759882971320583,0.0006335748743576109,0.0013904988378339207,0.039472705273333804,,0.16250000000000003,0.15,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.75 mV,-1. mV
0.11708918952831646,0.0031012807877389657,0.9747519879417431,0.2261512831046913,0.0031816100857321003,0.013713301756078485,0.22678409230276225,,0.16250000000000003,0.15,0.75 mV,-0.65 mV
0.020336240889571543,0.0011384620443036378,0.9250489143984945,0.3947370051737956,0.0012307046841267487,0.002884102654126368,0.03878041790701649,,0.16250000000000003,0.15,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,0.875 mV,-1. mV
0.022010445294101958,0.002444883134055547,0.9326827130821315,0.3733368371159393,0.0026213449370823738,0.00654873264835715,0.03982859056661163,,0.16250000000000003,0.15,0.875 mV,-0.65 mV
0.2784746619229733,0.0033436747872700474,0.9927030515424571,0.12102637179681258,0.0033682527200779074,0.027627654515526907,0.5438773104076892,,0.16250000000000003,0.15,0.875 mV,-0.825 mV
0.08321268140002253,0.005215741051691808,0.8603116983394881,0.5485626743531454,0.006062617771131881,0.009508013023018947,0.15898458692815834,,0.16250000000000003,0.1,1. mV,-1. mV
0.05619456032977333,0.003115216484689819,0.8877432650955368,0.4880013983810042,0.003509141180883141,0.0063836220449877325,0.10773018713302168,,0.16250000000000003,0.15,0.875 mV,-0.475 mV
0.028715007514587984,0.0014188739359673739,0.9432731836411938,0.34175819337377106,0.0015042025423093821,0.004151689596555166,0.05486681766516827,,0.16250000000000003,0.15,1. mV,-0.825 mV
0.032391075325153305,0.000325487250444723,0.8966223564051676,0.46716271634399337,0.00036301486851114434,0.0006967320786897981,0.06428564889772401,,0.16250000000000003,0.15,1. mV,-0.65 mV
0.12564416318744934,0.001830376688963517,0.8404081611809611,0.5896907445299802,0.0021779615569318287,0.0031039603486102533,0.2487399653012955,,0.16250000000000003,0.15,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.15,1. mV,-1. mV
0.21089702196198146,0.0003012756086481775,0.8019855034510482,0.6643263269017405,0.0003756621579755839,0.000453505448223398,0.4213872444498882,,0.16250000000000003,0.15,1. mV,-300. uV
0.11188342332622035,0.0004903877118926769,0.8501151069174491,0.569883333674934,0.0005768485963063944,0.0008605054454398168,0.22307653531648095,,0.16250000000000003,0.15,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.5 mV,-0.65 mV
0.1970475814944385,0.003186839553663613,0.9859940660183194,0.16795792623488184,0.0032321082156323245,0.018974034897328733,0.3845662841005661,,0.16250000000000003,0.2,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.625 mV,-0.475 mV
0.050269559935767365,0.002384285634022073,0.9552221693618675,0.30269230916369516,0.0024960534685395243,0.007876928358733614,0.09589071644691757,,0.16250000000000003,0.2,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.75 mV,-0.825 mV
0.06489356544625717,0.0012035440005667614,0.8802510460188933,0.5050705322369213,0.0013672735662596345,0.002382922629115484,0.12801359770111237,,0.16250000000000003,0.15,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.75 mV,-0.65 mV
0.024184873679436045,0.0006710385602178942,0.92488189706925,0.39519417418077446,0.000725539720356591,0.0016979970962601783,0.04725522468815407,,0.16250000000000003,0.2,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,0.875 mV,-0.825 mV
0.05349476731771726,0.003070762257816581,0.8912076931658661,0.47995367746940565,0.003445619070513206,0.006398038814927769,0.1023629476671555,,0.16250000000000003,0.2,0.875 mV,-300. uV
0.045002539995607625,0.0028047336662762818,0.951538139840964,0.3151999321996804,0.002947578787823749,0.008898268621769474,0.08467722526981321,,0.16250000000000003,0.2,0.875 mV,-0.475 mV
,0.0,1.0,,0.0,,0.940918204969816,,0.16250000000000003,0.2,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.2,1. mV,-0.825 mV
0.11264198863819595,0.0057846203750533485,0.8554108320270569,0.5588799664793617,0.006762388423024429,0.010350380621966637,0.2170863919737906,,0.16250000000000003,0.2,1. mV,-300. uV
0.11886854942514034,0.0017759685237847451,0.9752903843525987,0.223696276090084,0.0018209638217175708,0.007939195747136849,0.2334688422583954,,0.16250000000000003,0.2,1. mV,-0.65 mV
0.03342533618916728,0.0008536568964403135,0.9223280753313633,0.40213002324751096,0.0009255458117526818,0.002122838005345569,0.06544620968914472,,0.16250000000000003,0.2,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.625 mV,-0.65 mV
0.16623578802968408,0.003999611236430802,0.9823584349894277,0.18867443899666467,0.004071437729100854,0.02119847954868707,0.3215493216024328,,0.16250000000000003,0.25,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.75 mV,-0.65 mV
0.14043991557812896,0.000835081264921899,0.9792622142394485,0.20472334135055464,0.0008527657293943624,0.004079072075577163,0.27873654288839045,,0.16250000000000003,0.2,0.75 mV,-0.475 mV
0.38051282578028567,2.2246655733618783e-16,0.9981032995870973,0.061619662573088756,2.2288930935237496e-16,3.6103176818327135e-15,0.7610256515605698,,0.16250000000000003,0.25,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.16250000000000003,0.25,0.875 mV,-1. mV
